"ID","Página","Seção","Onde aparece","Ação","Limite","Caracteres","Texto atual","TEXTO NOVO","Comentário"
"specialities-64","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","363","A fisioterapia em gerontologia é voltada para o atendimento de idosos, visando promover a saúde, independência e qualidade de vida nessa fase da vida. Por meio de exercícios específicos, treinamento de equilíbrio, fortalecimento muscular e mobilidade articular, busca-se prevenir quedas, melhorar a funcionalidade, reduzir dores e promover o envelhecimento ativo.","",""
"specialities-65","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","55","A fisioterapia em gerontologia ajuda a prevenir quedas?","",""
"specialities-66","Especialidades","Texto de cada especialidade","Resposta","Conferir","","215","Sim, e é uma das intervenções mais bem estabelecidas na área. Avaliamos o risco de queda, treinamos equilíbrio e força, e orientamos as adaptações necessárias em casa como tapete, iluminação, apoio no banheiro, etc.","",""
"specialities-67","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","41","Atende idosos com Parkinson ou Alzheimer?","",""
"specialities-68","Especialidades","Texto de cada especialidade","Resposta","Conferir","","256","Sim. Atendemos Parkinson, Alzheimer e outras demências. Nessas condições a fisioterapia trabalha manutenção: preservar marcha, equilíbrio e independência pelo maior tempo possível, e reduzir o risco de queda, que é o que costuma acelerar a perda de função.","",""
"specialities-69","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","51","Serve para reabilitação após internação hospitalar?","",""
"specialities-70","Especialidades","Texto de cada especialidade","Resposta","Conferir","","246","Sim. Perda de força, dificuldade para andar e insegurança ao levantar são muito comuns depois de uma internação, mesmo curta. Começar cedo faz diferença, atendemos na clínica e também em domicílio, para quem ainda não tem condição de se deslocar.","",""
"specialities-71","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","23","Envelhecimento e quedas","",""
"specialities-72","Especialidades","Texto de cada especialidade","Título","Conferir","","25","Fisioterapia Respiratória","",""
"specialities-73","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","12","Respiratória","",""
"specialities-74","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","154","Fisioterapia respiratória na Consolação e em Pinheiros: falta de ar, asma, enfisema, bronquite crônica e recuperação após internação. Também em domicílio.","",""
"specialities-75","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","136","Melhorar capacidade respiratória e tolerância ao esforço, para voltar a caminhar, subir escada e fazer suas atividades sem ficar sem ar.","",""
"specialities-76","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","241","Quando subir uma escada ou atravessar a rua já cansa, a fisioterapia respiratória trabalha capacidade pulmonar, força muscular e tolerância ao esforço. Atendemos asma, DPOC, bronquite crônica, fibrose pulmonar e recuperação após internações.","",""
"specialities-77","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","133","Adultos com doenças respiratórias crônicas: como asma, doença pulmonar obstrutiva crônica (DPOC), fibrose pulmonar e bronquiectasias.","",""
"specialities-78","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","94","Pacientes em recuperação pós-cirúrgica: principalmente após cirurgias torácicas ou abdominais.","",""
"specialities-79","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","163","Pessoas com limitações respiratórias devido ao envelhecimento: como redução da capacidade pulmonar, fraqueza muscular respiratória e diminuição da função pulmonar.","",""
"specialities-80","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","145","Pacientes com falta de ar crônica: causada por doenças respiratórias, como DPOC, ou por outras condições, como insuficiência cardíaca congestiva.","",""
"specialities-81","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","133","Pessoas com condições neuromusculares respiratórias: como esclerose lateral amiotrófica (ELA), distrofia muscular e lesões medulares.","",""
"specialities-82","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","383","A fisioterapia respiratória para adultos é direcionada ao tratamento de distúrbios respiratórios, como doença pulmonar obstrutiva crônica (DPOC), asma, bronquite e fibrose pulmonar. Por meio de técnicas de reabilitação pulmonar, exercícios respiratórios e desobstrução brônquica, busca-se melhorar a capacidade pulmonar, a eficiência respiratória e a qualidade de vida dos pacientes.","",""
"specialities-83","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","46","A fisioterapia respiratória trata DPOC e asma?","",""
"specialities-84","Especialidades","Texto de cada especialidade","Resposta","Conferir","","223","Sim. Em asma, DPOC, fibrose pulmonar e bronquiectasias, o trabalho é de condicionamento: fortalecer a musculatura respiratória, melhorar o controle da respiração e aumentar o quanto você aguenta de esforço sem ficar sem ar.","",""
"specialities-85","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","37","Serve para recuperação após cirurgia?","",""
"specialities-86","Especialidades","Texto de cada especialidade","Resposta","Conferir","","297","Sim, principalmente após cirurgias torácicas e abdominais. Nesses casos a respiração fica limitada pela dor, o pulmão não expande como deveria, favorecendo o acúmulo de secreção, e isso pode causar infecções. O trabalho da fisioterapia respiratória reduz esse risco e acelera a retomada da rotina.","",""
"specialities-87","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","49","Funciona para quem tem falta de ar há meses/anos?","",""
"specialities-88","Especialidades","Texto de cada especialidade","Resposta","Conferir","","237","Sim. Falta de ar crônica por DPOC, fibrose ou insuficiência cardíaca costuma criar um ciclo: a pessoa evita esforço, perde condicionamento, e passa a cansar cada vez mais fácil. A fisioterapia trabalha justamente para quebrar esse ciclo.","",""
"specialities-89","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","30","Doenças respiratórias crônicas","",""
"specialities-90","Especialidades","Texto de cada especialidade","Título","Conferir","","32","Fisioterapia Pré e Pós-Cirúrgica","",""
"specialities-91","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","19","Pré e pós-cirúrgico","",""
"specialities-92","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","154","Fisioterapia pré e pós-operatória na Consolação e em Pinheiros: preparo antes da cirurgia e recuperação dos movimentos e força depois. Também a domicílio.","",""
"specialities-93","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","120","Chegar mais forte à cirurgia e voltar mais rápido à rotina depois: em procedimentos ortopédicos, abdominais e cardíacos.","",""
"specialities-94","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","254","Quem chega mais forte à cirurgia costuma se recuperar melhor. Trabalhamos os dois momentos: o preparo antes, para você entrar no procedimento em melhores condições, e a reabilitação depois, para recuperar mobilidade, força e função o mais breve possível.","",""
"specialities-95","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","145","Pacientes em preparação para cirurgia que desejem chegar em melhores condições para o procedimento, o que costuma facilitar a recuperação depois.","",""
"specialities-96","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","138","Depois de cirurgia ortopédica: prótese de joelho ou quadril, reparo de ligamento, fixação de fratura: recuperar amplitude, força e marcha.","",""
"specialities-97","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","106","Depois de cirurgia abdominal: retomar mobilidade e respiração eficiente, com progressão segura de esforço.","",""
"specialities-98","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","134","Depois de cirurgia cardíaca: recuperação de condicionamento e retorno gradual às atividades, respeitando os limites do pós-operatório.","",""
"specialities-99","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","467","A fisioterapia para condicionamento físico pré e pós cirúrgico tem como objetivo preparar o paciente antes de uma cirurgia, melhorando sua condição física e reduzindo o risco de complicações. Após a cirurgia, a fisioterapia auxilia na recuperação, restaurando a mobilidade, força muscular e função, além de reduzir o tempo de internação e acelerar o retorno às atividades cotidianas. Sempre alinhados às orientações do cirurgião e respeitando o tempo de cicatrização.","",""
"specialities-100","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","37","O que é a fisioterapia pré-cirúrgica?","",""
"specialities-101","Especialidades","Texto de cada especialidade","Resposta","Conferir","","267","É preparar o corpo para o que vem. Nas semanas anteriores à cirurgia, trabalhamos condicionamento, força e mobilidade, e já ensinamos os movimentos que você vai precisar fazer depois: levantar da cama, sentar, andar com apoio. Chegar treinado facilita bastante o pós.","",""
"specialities-102","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","48","Quais cirurgias são atendidas no pós-operatório?","",""
"specialities-103","Especialidades","Texto de cada especialidade","Resposta","Conferir","","101","Atendemos pós-operatório de cirurgias ortopédicas, abdominais, cardíacas, neurológicas e oncológicas.","",""
"specialities-104","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","53","O que a fisioterapia pós-cirúrgica ajuda a restaurar?","",""
"specialities-105","Especialidades","Texto de cada especialidade","Resposta","Conferir","","249","Movimento, força, confiança e a capacidade de fazer as coisas do dia a dia da forma mais segura e independente possível. O objetivo é você voltar à sua rotina (trabalho, esporte, tarefas de casa), com ou sem adaptações, de forma mais breve possível.","",""
"specialities-106","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","21","Recuperação cirúrgica","",""
"pilates-01","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","81","Cadeiras de pilates e bolas suíças refletidas no espelho do estúdio de Pinheiros.","",""
"pilates-02","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","83","Escada e cadillac refletidos nos espelhos ovais do estúdio de pilates de Pinheiros.","",""
"pilates-03","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","74","Corredor do estúdio de pilates de Pinheiros com bolas, cadillac e cadeira.","",""
"pilates-04","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","87","Estúdio de pilates da unidade Consolação com letreiro VYTA e variedade de equipamentos.","",""
"pilates-05","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","78","Estúdio de pilates da unidade Consolação com luz natural, cadillac e espaldar.","",""
"pilates-06","Pilates","Página de Pilates","Descrição da imagem (não aparece na tela)","Opcional","","95","Reformer, cadillac e escada no estúdio de pilates da unidade Consolação, parede coral ao fundo.","",""
"pilates-07","Pilates","Página de Pilates","Item de lista","Reescrever","","112","Melhorar a postura: fortalece a musculatura do core, aumentando a estabilidade e melhorando o suporte da coluna.","",""
"pilates-08","Pilates","Página de Pilates","Item de lista","Reescrever","","89","Aumentar a flexibilidade: ajuda a alongar os músculos para ganhar amplitude de movimento.","",""
"pilates-09","Pilates","Página de Pilates","Item de lista","Reescrever","","107","Reduzir o estresse: através das respirações conscientes, oferece um espaço para relaxamento e concentração.","",""
"pilates-10","Pilates","Página de Pilates","Item de lista","Reescrever","","65","Ajuda na recuperação de lesões e na prevenção de novos problemas.","",""
"pilates-11","Pilates","Página de Pilates","Item de lista","Reescrever","","113","Melhorar o condicionamento físico: um treino completo, que foca em força, mobilidade, estabilidade e resistência.","",""
"pilates-12","Pilates","Página de Pilates","Pergunta","Reescrever","","61","Preciso ter feito fisioterapia antes para fazer Pilates aqui?","",""
"pilates-13","Pilates","Página de Pilates","Resposta","Reescrever","","159","Não. O Pilates é uma modalidade aplicável para todas as pessoas, não só para quem tem dor. É recomendada para qualquer idade e nível de condicionamento físico.","",""
"pilates-14","Pilates","Página de Pilates","Pergunta","Reescrever","","50","Qual a diferença entre o Pilates e a fisioterapia?","",""
"pilates-15","Pilates","Página de Pilates","Resposta","Reescrever","","279","Apesar de também ser uma ferramenta de reabilitação, o pilates é uma atividade física estruturada focada em força, mobilidade e controle. Diferente da fisioterapia, que possui técnicas de analgesia, recursos terapêuticos manuais, cinesioterapia e é focada na reabilitação física.","",""
"pilates-16","Pilates","Página de Pilates","Pergunta","Reescrever","","23","Como é a primeira aula?","",""
"pilates-17","Pilates","Página de Pilates","Resposta","Reescrever","","286","Ao chegar ao nosso estúdio, o aluno comunica seu histórico de lesões, queixas e/ou objetivos com a prática de pilates. O fisioterapeuta que conduz a aula planeja os exercícios individualmente, de acordo com as demandas específicas, e evolui a intensidade no ritmo particular de cada um.","",""
"pilates-18","Pilates","Página de Pilates","Pergunta","Reescrever","","22","As aulas são em grupo?","",""
"pilates-19","Pilates","Página de Pilates","Resposta","Reescrever","","56","Em grupos reduzidos, de no máximo um aluno por aparelho.","",""
"pilates-20","Pilates","Página de Pilates","Título","Reescrever","","39","Pilates com fisioterapeuta em São Paulo","",""
"pilates-21","Pilates","Página de Pilates","Descrição no Google (máx. 160 caracteres)","Reescrever","160","137","Pilates conduzido por fisioterapeutas em São Paulo. Aulas personalizadas, grupos reduzidos e aparelhos completos. Consolação e Pinheiros.","",""
"pilates-22","Pilates","Página de Pilates","Título","Reescrever","","26","Pilates com fisioterapeuta","",""
"pilates-23","Pilates","Página de Pilates","Descrição no Google (máx. 160 caracteres)","Reescrever","160","85","Pilates conduzido por fisioterapeutas, com avaliação postural antes da primeira aula.","",""
"pilates-24","Pilates","Página de Pilates","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","37","Reabilitação e condicionamento físico","",""
"pilates-25","Pilates","Página de Pilates","Nome","Conferir","","6","Início","",""
"pilates-26","Pilates","Página de Pilates","Nome","Conferir","","7","Pilates","",""
"pilates-27","Pilates","Página de Pilates","Nome do botão para leitor de tela","Reescrever","","6","Trilha","",""
"pilates-28","Pilates","Página de Pilates","Link ou botão","Reescrever","","6","Início","",""
"pilates-29","Pilates","Página de Pilates","Etiqueta acima do título","Reescrever","28","7","Pilates","",""
"pilates-30","Pilates","Página de Pilates","Título","Reescrever","","36","Pilates com *fisioterapeuta*, sempre","",""
"pilates-31","Pilates","Página de Pilates","Texto de apoio abaixo do título","Reescrever","","200","O Pilates é uma atividade completa: fortalece, melhora postura e flexibilidade, e funciona tanto na reabilitação quanto na prevenção de lesões. Aqui, todas as aulas são conduzidas por fisioterapeutas.","",""
"pilates-32","Pilates","Página de Pilates","Botão","Reescrever","30","25","Agendar aula experimental","",""
"pilates-33","Pilates","Página de Pilates","Título de seção (H2)","Reescrever","","9","O estúdio","",""
"pilates-34","Pilates","Página de Pilates","Título de seção (H2)","Reescrever","","21","Para quem é o Pilates","",""
"pilates-35","Pilates","Página de Pilates","Parágrafo","Reescrever","","123","O Pilates é uma prática acessível a pessoas de todas as idades e níveis de condicionamento físico. É ideal para quem busca:","",""
"pilates-36","Pilates","Página de Pilates","Título de seção (H2)","Reescrever","","20","Perguntas frequentes","",""
"pilates-37","Pilates","Página de Pilates","Título de seção (H2)","Reescrever","","13","Onde praticar","",""
"pilates-38","Pilates","Página de Pilates","Botão","Reescrever","30","25","Agendar aula experimental","",""
"unidades-01","Unidades","Página de lista","Título","Reescrever","","8","Unidades","",""
"unidades-02","Unidades","Página de lista","Descrição no Google (máx. 160 caracteres)","Reescrever","160","111","Duas unidades de fisioterapia e Pilates em São Paulo: Consolação (Frei Caneca) e Pinheiros (Fradique Coutinho).","",""
"unidades-03","Unidades","Página de lista","Nome","Conferir","","6","Início","",""
"unidades-04","Unidades","Página de lista","Nome","Conferir","","8","Unidades","",""
"unidades-05","Unidades","Página de lista","Etiqueta acima do título","Reescrever","28","8","Unidades","",""
"unidades-06","Unidades","Página de lista","Título","Reescrever","","19","Onde a gente atende","",""
"unidades-slug-01","Unidades","Página de cada unidade","Título","Reescrever","","38","Fisioterapia e Pilates em {u.district}","",""
"unidades-slug-02","Unidades","Página de cada unidade","Descrição no Google (máx. 160 caracteres)","Reescrever","160","127","Clínica de fisioterapia e Pilates em {u.district}, São Paulo. {u.street}. Atendimento individual conduzido por fisioterapeutas.","",""
"unidades-slug-03","Unidades","Página de cada unidade","Nome","Conferir","","6","Início","",""
"unidades-slug-04","Unidades","Página de cada unidade","Nome","Conferir","","8","Unidades","",""
"unidades-slug-05","Unidades","Página de cada unidade","Nome do botão para leitor de tela","Reescrever","","6","Trilha","",""
"unidades-slug-06","Unidades","Página de cada unidade","Link ou botão","Reescrever","","6","Início","",""
"unidades-slug-07","Unidades","Página de cada unidade","Link ou botão","Reescrever","","8","Unidades","",""
"unidades-slug-08","Unidades","Página de cada unidade","Texto","Reescrever","","7","Unidade","",""
"unidades-slug-09","Unidades","Página de cada unidade","Título principal da página (H1)","Reescrever","","38","Fisioterapia e Pilates em {u.district}","",""
"unidades-slug-10","Unidades","Página de cada unidade","Botão","Reescrever","30","21","Agendar nesta unidade","",""
"unidades-slug-11","Unidades","Página de cada unidade","Link ou botão","Reescrever","","20","Abrir no Google Maps","",""
"unidades-slug-12","Unidades","Página de cada unidade","Título de seção (H2)","Reescrever","","11","Como chegar","",""
"unidades-slug-13","Unidades","Página de cada unidade","Título","Reescrever","","16","Mapa da {u.name}","",""
"unidades-slug-14","Unidades","Página de cada unidade","Título de seção (H2)","Reescrever","","20","A unidade por dentro","",""
"unidades-slug-15","Unidades","Página de cada unidade","Título de seção (H2)","Reescrever","","31","O que atendemos em {u.district}","",""
"unidades-slug-16","Unidades","Página de cada unidade","Item de lista","Reescrever","","9","Pilates →","",""
"units-01","Unidades","Dados das unidades","Nome","Conferir","","18","Unidade Consolação","",""
"units-02","Unidades","Dados das unidades","Nome curto","Conferir","","10","Consolação","",""
"units-03","Unidades","Dados das unidades","Endereço","Conferir","","34","Rua Frei Caneca, 1212, Conjunto 53","",""
"units-04","Unidades","Dados das unidades","Bairro","Conferir","","10","Consolação","",""
"units-05","Unidades","Dados das unidades","Cidade","Conferir","","9","São Paulo","",""
"units-06","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","108","Sala de atendimento da unidade Consolação da Vyta, com tablado azul de tratamento e espelho de corpo inteiro","",""
"units-07","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","109","Sala de fisioterapia da unidade Consolação, com maca de atendimento, janelas com persianas e piso de madeira.","",""
"units-08","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","94","Estúdio de pilates da unidade Consolação com cadillac, escada e barril, parede coral ao fundo.","",""
"units-09","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","112","Estúdio de pilates da unidade Consolação iluminado por luz natural, com cadillac, cadeira e espaldar de madeira.","",""
"units-10","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","97","Estúdio de pilates da unidade Consolação com letreiro VYTA na parede e variedade de equipamentos.","",""
"units-11","Unidades","Dados das unidades","Nome","Conferir","","16","Unidade Fradique","",""
"units-12","Unidades","Dados das unidades","Nome curto","Conferir","","9","Pinheiros","",""
"units-13","Unidades","Dados das unidades","Endereço","Conferir","","26","Rua Fradique Coutinho, 380","",""
"units-14","Unidades","Dados das unidades","Bairro","Conferir","","9","Pinheiros","",""
"units-15","Unidades","Dados das unidades","Cidade","Conferir","","9","São Paulo","",""
"units-16","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","109","Sala de atendimento da unidade Pinheiros da Vyta, com maca de tratamento junto à janela e pia de higienização","",""
"units-17","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","89","Sala de fisioterapia da unidade Pinheiros, com espaldar de madeira e maca de atendimento.","",""
"units-18","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","95","Detalhe do estúdio de pilates da unidade Pinheiros refletido em espelhos ovais retroiluminados.","",""
"units-19","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","86","Cadillac e cadeiras de pilates em destaque no estúdio de pilates da unidade Pinheiros.","",""
"units-20","Unidades","Dados das unidades","Descrição da imagem (não aparece na tela)","Opcional","","84","Corredor do estúdio de pilates da unidade Pinheiros com reformer, cadillac e escada.","",""
"blog-01","Conteúdo","Página de lista","Título","Reescrever","","8","Conteúdo","",""
"blog-02","Conteúdo","Página de lista","Descrição no Google (máx. 160 caracteres)","Reescrever","160","145","Guias sobre reabilitação escritos por fisioterapeutas: AVC, câncer, DPOC, doenças cardiovasculares, incontinência urinária e cuidados paliativos.","",""
"blog-03","Conteúdo","Página de lista","Nome","Conferir","","6","Início","",""
"blog-04","Conteúdo","Página de lista","Nome","Conferir","","8","Conteúdo","",""
"blog-05","Conteúdo","Página de lista","Etiqueta acima do título","Reescrever","28","8","Conteúdo","",""
"blog-06","Conteúdo","Página de lista","Título","Reescrever","","38","O que a gente escreve entre as sessões","",""
"blog-07","Conteúdo","Página de lista","Texto de apoio abaixo do título","Reescrever","","80","Guias sobre as condições que mais aparecem na clínica, escritos por quem atende.","",""
"blog-slug-01","Conteúdo","Moldura de cada texto","Nome","Conferir","","6","Início","",""
"blog-slug-02","Conteúdo","Moldura de cada texto","Nome","Conferir","","8","Conteúdo","",""
"blog-slug-03","Conteúdo","Moldura de cada texto","Nome do botão para leitor de tela","Reescrever","","6","Trilha","",""
"blog-slug-04","Conteúdo","Moldura de cada texto","Link ou botão","Reescrever","","6","Início","",""
"blog-slug-05","Conteúdo","Moldura de cada texto","Link ou botão","Reescrever","","8","Conteúdo","",""
"blog-slug-06","Conteúdo","Moldura de cada texto","Texto","Reescrever","","14","min de leitura","",""
"blog-slug-07","Conteúdo","Moldura de cada texto","Texto","Reescrever","","11","Revisado em","",""
"blog-slug-08","Conteúdo","Moldura de cada texto","Parágrafo","Reescrever","","113","Se algo aqui descreve o que você está vivendo, conta pra gente. A avaliação define o que faz sentido no seu caso.","",""
"blog-slug-09","Conteúdo","Moldura de cada texto","Botão","Reescrever","30","28","Falar com uma fisioterapeuta","",""
"not-found-01","Página não encontrada","Erro 404","Etiqueta acima do título","Reescrever","28","21","Página não encontrada","",""
"not-found-02","Página não encontrada","Erro 404","Título","Reescrever","","22","Essa página não existe","",""
"not-found-03","Página não encontrada","Erro 404","Texto de apoio abaixo do título","Reescrever","","95","O endereço que você acessou não foi encontrado. Pode ter mudado de lugar ou nunca ter existido.","",""
"not-found-04","Página não encontrada","Erro 404","Botão","Reescrever","30","20","Voltar para o início","",""
"not-found-05","Página não encontrada","Erro 404","Botão","Reescrever","30","20","Ver áreas de atuação","",""
